"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 15:38:16 GMT 2024","Tue Jul 23 15:38:26 GMT 2024","10162","","Активирование типа ввода Телефон","","","","test_active_tab_phone"," Активирование типа ввода Телефон "
"passed","Tue Jul 23 15:39:53 GMT 2024","Tue Jul 23 15:40:11 GMT 2024","17713","","Authorisation with valid LS and valid password","","","","test_authorisation_valid_ls_password"," Authorisation with valid LS and valid password. "
"passed","Tue Jul 23 15:38:27 GMT 2024","Tue Jul 23 15:38:38 GMT 2024","10884","","Активирование типа ввода Лицевой счет","","","","test_active_tab_ls"," Активирование типа ввода Лицевой счет "
"failed","Tue Jul 23 15:38:52 GMT 2024","Tue Jul 23 15:39:05 GMT 2024","13294","","","","","","test_automated_change_ls_to_phone","   "
"skipped","Tue Jul 23 15:42:35 GMT 2024","Tue Jul 23 15:42:54 GMT 2024","19026","","Ссылка на Яндекс корректна","","","","test_ref_yandex"," Ссылка на Яндекс корректна "
"failed","Tue Jul 23 15:41:10 GMT 2024","Tue Jul 23 15:41:26 GMT 2024","16129","","Авторизация с некорректной почтой","","","","test_authorisation_invalid_email"," Авторизация с некорректной почтой "
"passed","Tue Jul 23 15:43:39 GMT 2024","Tue Jul 23 15:43:53 GMT 2024","13979","","Регистрация - верификация имени Parameters name_""Пустое поле"", param_"""", subtest_""0""","","","","test_registration_not_valid_name[\u041f\u0443\u0441\u0442\u043e\u0435 \u043f\u043e\u043b\u0435]","Пустое поле"
"passed","Tue Jul 23 15:41:26 GMT 2024","Tue Jul 23 15:41:39 GMT 2024","12877","","Авторизация с незаполненным полем Лицевой счет","","","","test_authorisation_empty_ls"," Авторизация с незаполненным полем Лицевой счет "
"passed","Tue Jul 23 15:44:07 GMT 2024","Tue Jul 23 15:44:22 GMT 2024","14441","","Регистрация - верификация имени Parameters name_""10 пробелов"", param_""          "", subtest_""2""","","","","test_registration_not_valid_name[10 \u043f\u0440\u043e\u0431\u0435\u043b\u043e\u0432]","10 пробелов"
"passed","Tue Jul 23 15:44:22 GMT 2024","Tue Jul 23 15:44:36 GMT 2024","13866","","Регистрация - верификация имени Parameters name_""31 символ"", param_""ааааабббббвввввгггггдддддеееееж"", subtest_""3""","","","","test_registration_not_valid_name[31 \u0441\u0438\u043c\u0432\u043e\u043b]","31 символ"
"passed","Tue Jul 23 15:38:38 GMT 2024","Tue Jul 23 15:38:51 GMT 2024","13401","","","","","","test_automated_change_login_to_phone","   "
"passed","Tue Jul 23 15:40:39 GMT 2024","Tue Jul 23 15:40:54 GMT 2024","15536","","Авторизация с неверным лицевым счетом","","","","test_auth_wrong_ls"," Авторизация с неверным лицевым счетом "
"passed","Tue Jul 23 15:40:11 GMT 2024","Tue Jul 23 15:40:22 GMT 2024","11254","","Форма восстановления пароля отображается корректно","","","","test_tab_active"," Форма восстановления пароля отображается корректно "
"passed","Tue Jul 23 15:39:19 GMT 2024","Tue Jul 23 15:39:35 GMT 2024","16139","","Authorisation with valid phone and valid password","","","","test_authorisation_valid_phone_password"," Authorisation with valid phone and valid password. "
"passed","Tue Jul 23 15:43:08 GMT 2024","Tue Jul 23 15:43:39 GMT 2024","30630","tests","test_reg_page","","","","test_repeat_valid_registration",""
"passed","Tue Jul 23 15:41:53 GMT 2024","Tue Jul 23 15:42:06 GMT 2024","13549","","Авторизация с полем Лицевой счет больше 12 цифр","","","","test_authorisation_big_ls"," Авторизация с полем Лицевой счет больше 12 цифр"
"passed","Tue Jul 23 15:41:39 GMT 2024","Tue Jul 23 15:41:52 GMT 2024","12899","","Авторизация с полем Лицевой счет меньше 12 цифр","","","","test_authoration_small_ls"," Авторизация с полем Лицевой счет меньше 12 цифр"
"passed","Tue Jul 23 15:42:06 GMT 2024","Tue Jul 23 15:42:20 GMT 2024","13779","","Авторизация латинские буквы в поле Лицевой счет","","","","test_authorisation_latin_ls"," Авторизация латинские буквы в поле Лицевой счет"
"passed","Tue Jul 23 15:40:23 GMT 2024","Tue Jul 23 15:40:38 GMT 2024","15746","","Авторизация с неверным номером телефона","","","","test_auth_wrong_phone"," Авторизация с неверным номером телефона "
"passed","Tue Jul 23 15:43:53 GMT 2024","Tue Jul 23 15:44:07 GMT 2024","13877","","Регистрация - верификация имени Parameters name_""Один символ"", param_""ю"", subtest_""1""","","","","test_registration_not_valid_name[\u041e\u0434\u0438\u043d \u0441\u0438\u043c\u0432\u043e\u043b]","Один символ"
"failed","Tue Jul 23 15:39:05 GMT 2024","Tue Jul 23 15:39:18 GMT 2024","12719","","","","","","test_automated_change_phone_to_ls","   "
"passed","Tue Jul 23 15:42:20 GMT 2024","Tue Jul 23 15:42:34 GMT 2024","13994","","Ссылка на Т-Банк корректна","","","","test_ref_tbank"," Ссылка на Т-Банк корректна "
"passed","Tue Jul 23 15:39:35 GMT 2024","Tue Jul 23 15:39:53 GMT 2024","17624","","Authorisation with valid email and valid password","","","","test_authorisation_valid_email_password"," Authorisation with valid email and valid password. "
"passed","Tue Jul 23 15:40:55 GMT 2024","Tue Jul 23 15:41:09 GMT 2024","14672","","Авторизация с незаполненным полем Почта","","","","test_authorisation_empty_email"," Авторизация с незаполненным полем Почта "
"passed","Tue Jul 23 15:45:05 GMT 2024","Tue Jul 23 15:45:18 GMT 2024","13270","","Регистрация - верификация имени Parameters name_""Спецсимволы"", param_""@#$%^&*!"", subtest_""6""","","","","test_registration_not_valid_name[\u0421\u043f\u0435\u0446\u0441\u0438\u043c\u0432\u043e\u043b\u044b]","Спецсимволы"
"passed","Tue Jul 23 15:38:05 GMT 2024","Tue Jul 23 15:38:16 GMT 2024","10529","","Страница авторизации отображается корректно","","","","test_open_authorization_page"," Страница авторизации отображается корректно. "
