"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Регистрация","Верификация имени при регистрации","0","0","7","0","0"
"","Авторизация","Переключение табов вручную","0","0","2","0","0"
"","Авторизация","Автоматическая смена таба","2","0","1","0","0"
"","Авторизация","Авторизация с невалидными учетными данными","0","0","2","0","0"
"","Регистрация","Повторная регистрация с валидными данными не происходит","0","0","1","0","0"
"","Авторизация","Авторизация с валидными данными","0","0","3","0","0"
"","Авторизация","Верификация ввода в поле Почта при авторизации","1","0","1","0","0"
"","Авторизация","Открытие страницы авторизации","0","0","1","0","0"
"","Авторизация","Возможность авторизации через соцсети","0","0","2","0","0"
"","Авторизация","Верификация ввода в поле Лицевой счет при авторизации","0","0","4","0","0"
"","Регистрация","Форма регистрации открывается корректно","0","0","1","0","0"
"","Авторизация","Форма восстановления пароля","0","0","1","0","0"
